Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.35.self_attn.o_proj.weight                                 0.7967    0.0050    0.7226    0.8706
  model.layers.35.self_attn.q_proj.weight                                 0.7972    0.0070    0.7285    0.8206
  model.layers.35.self_attn.v_proj.weight                                 0.7907    0.0097    0.7542    0.8114
  model.layers.4.mlp.down_proj.weight                                     0.7886    0.0235    0.5639    0.8047
  model.layers.4.mlp.gate_proj.weight                                     0.7961    0.0072    0.6574    0.8313
  model.layers.4.mlp.up_proj.weight                                       0.7957    0.0090    0.6855    0.8363
  model.layers.4.self_attn.k_proj.weight                                  0.7933    0.0134    0.6442    0.8107
  model.layers.4.self_attn.o_proj.weight                                  0.7989    0.0040    0.7593    0.8230
  model.layers.4.self_attn.q_proj.weight                                  0.7947    0.0064    0.7585    0.8113
  model.layers.4.self_attn.v_proj.weight                                  0.7951    0.0048    0.7715    0.8122
  model.layers.5.mlp.down_proj.weight                                     0.7918    0.0185    0.5369    0.8045
  model.layers.5.mlp.gate_proj.weight                                     0.7938    0.0106    0.3179    0.8157
  model.layers.5.mlp.up_proj.weight                                       0.7961    0.0085    0.5510    0.8122
  model.layers.5.self_attn.k_proj.weight                                  0.7936    0.0114    0.6537    0.8137
  model.layers.5.self_attn.o_proj.weight                                  0.7981    0.0042    0.7509    0.8098
  model.layers.5.self_attn.q_proj.weight                                  0.7951    0.0074    0.7352    0.8665
  model.layers.5.self_attn.v_proj.weight                                  0.7945    0.0066    0.7306    0.8095
  model.layers.6.mlp.down_proj.weight                                     0.7922    0.0165    0.5548    0.8068
  model.layers.6.mlp.gate_proj.weight                                     0.7961    0.0097    0.6354    0.8220
  model.layers.6.mlp.up_proj.weight                                       0.7964    0.0092    0.6391    0.8316
  model.layers.6.self_attn.k_proj.weight                                  0.7954    0.0105    0.6133    0.8114
  model.layers.6.self_attn.o_proj.weight                                  0.7976    0.0094    0.6656    0.9159
  model.layers.6.self_attn.q_proj.weight                                  0.7946    0.0094    0.4639    0.8135
  model.layers.6.self_attn.v_proj.weight                                  0.7899    0.0146    0.7296    0.8097
  model.layers.7.mlp.down_proj.weight                                     0.7942    0.0116    0.6377    0.8057
  model.layers.7.mlp.gate_proj.weight                                     0.7966    0.0089    0.5607    0.8156
  model.layers.7.mlp.up_proj.weight                                       0.7968    0.0084    0.5433    0.8142
  model.layers.7.self_attn.k_proj.weight                                  0.7936    0.0170    0.5384    0.8123
  model.layers.7.self_attn.o_proj.weight                                  0.7979    0.0048    0.7379    0.8163
  model.layers.7.self_attn.q_proj.weight                                  0.7947    0.0074    0.7399    0.8155
  model.layers.7.self_attn.v_proj.weight                                  0.7960    0.0045    0.7814    0.8103
  model.layers.8.mlp.down_proj.weight                                     0.7924    0.0124    0.6936    0.8053
  model.layers.8.mlp.gate_proj.weight                                     0.7972    0.0081    0.6494    0.8141
  model.layers.8.mlp.up_proj.weight                                       0.7967    0.0078    0.6129    0.8143
  model.layers.8.self_attn.k_proj.weight                                  0.7955    0.0090    0.6421    0.8109
  model.layers.8.self_attn.o_proj.weight                                  0.7980    0.0040    0.7699    0.8107
  model.layers.8.self_attn.q_proj.weight                                  0.7953    0.0066    0.7317    0.8134
  model.layers.8.self_attn.v_proj.weight                                  0.7963    0.0049    0.7805    0.8107
  model.layers.9.mlp.down_proj.weight                                     0.7909    0.0145    0.6494    0.8042
  model.layers.9.mlp.gate_proj.weight                                     0.7967    0.0095    0.5396    0.8149
  model.layers.9.mlp.up_proj.weight                                       0.7962    0.0085    0.5833    0.8126
  model.layers.9.self_attn.k_proj.weight                                  0.7911    0.0184    0.6087    0.8088
  model.layers.9.self_attn.o_proj.weight                                  0.7977    0.0045    0.7639    0.8125
  model.layers.9.self_attn.q_proj.weight                                  0.7922    0.0109    0.7089    0.8125
  model.layers.9.self_attn.v_proj.weight                                  0.7942    0.0065    0.7693    0.8141

 depth     mean      min      max
     0    0.7957   0.7944   0.7966
     1    0.7802   0.7037   0.7972
     2    0.7572   0.6543   0.7984
     3    0.7836   0.7274   0.7985
     4    0.7946   0.7886   0.7989
     5    0.7947   0.7918   0.7981
     6    0.7946   0.7899   0.7976
     7    0.7957   0.7936   0.7979
     8    0.7959   0.7924   0.7980
     9    0.7942   0.7909   0.7977
    10    0.7948   0.7911   0.7976
